iter	Passed	Remaining
0	148	29457
1	172	17119
2	199	13106
3	225	11063
4	251	9792
5	280	9084
6	305	8417
7	333	8011
8	364	7736
9	398	7564
10	432	7425
11	460	7220
12	485	6988
13	513	6824
14	539	6657
15	564	6486
16	594	6400
17	619	6261
18	644	6142
19	674	6070
20	698	5956
21	724	5865
22	752	5790
23	778	5709
24	811	5679
25	844	5652
26	879	5634
27	912	5605
28	944	5568
29	973	5517
30	998	5444
31	1025	5381
32	1049	5312
33	1076	5253
34	1103	5202
35	1128	5142
36	1155	5090
37	1179	5029
38	1206	4980
39	1235	4940
40	1260	4887
41	1286	4838
42	1311	4786
43	1336	4739
44	1363	4698
45	1394	4669
46	1428	4651
47	1462	4631
48	1494	4606
49	1524	4574
50	1551	4532
51	1577	4488
52	1604	4450
53	1628	4404
54	1654	4362
55	1680	4322
56	1710	4290
57	1743	4269
58	1799	4299
59	1895	4423
60	2005	4570
61	2060	4586
62	2098	4562
63	2133	4534
64	2189	4547
65	2229	4526
66	2265	4497
67	2300	4465
68	2334	4432
69	2365	4392
70	2393	4348
71	2419	4301
72	2446	4256
73	2473	4211
74	2502	4170
75	2535	4137
76	2572	4109
77	2603	4071
78	2630	4028
79	2657	3985
80	2683	3942
81	2711	3901
82	2740	3863
83	2766	3820
84	2795	3781
85	2821	3739
86	2845	3695
87	2870	3653
88	2898	3614
89	2926	3576
90	2955	3539
91	2986	3505
92	3015	3469
93	3044	3432
94	3075	3399
95	3106	3365
96	3135	3329
97	3161	3290
98	3188	3252
99	3221	3221
100	3246	3181
101	3270	3142
102	3295	3103
103	3319	3064
104	3346	3027
105	3371	2989
106	3397	2953
107	3423	2916
108	3453	2883
109	3483	2850
110	3513	2817
111	3539	2780
112	3574	2751
113	3604	2718
114	3631	2684
115	3657	2648
116	3685	2614
117	3714	2581
118	3741	2546
119	3766	2510
120	3791	2475
121	3815	2439
122	3843	2406
123	3868	2370
124	3896	2337
125	3921	2303
126	3947	2268
127	3973	2235
128	4001	2202
129	4029	2169
130	4064	2140
131	4092	2108
132	4118	2074
133	4148	2043
134	4175	2010
135	4200	1976
136	4230	1945
137	4254	1911
138	4277	1877
139	4303	1844
140	4329	1811
141	4355	1779
142	4380	1745
143	4406	1713
144	4431	1680
145	4458	1649
146	4483	1616
147	4513	1585
148	4547	1556
149	4581	1527
150	4610	1496
151	4637	1464
152	4663	1432
153	4690	1401
154	4716	1369
155	4743	1337
156	4769	1306
157	4794	1274
158	4819	1242
159	4846	1211
160	4873	1180
161	4903	1150
162	4944	1122
163	4981	1093
164	5034	1067
165	5079	1040
166	5114	1010
167	5144	979
168	5173	948
169	5202	918
170	5227	886
171	5253	855
172	5276	823
173	5300	792
174	5323	760
175	5347	729
176	5371	697
177	5402	667
178	5432	637
179	5456	606
180	5479	575
181	5502	544
182	5530	513
183	5560	483
184	5593	453
185	5623	423
186	5646	392
187	5676	362
188	5702	331
189	5722	301
190	5747	270
191	5773	240
192	5798	210
193	5822	180
194	5843	149
195	5868	119
196	5890	89
197	5915	59
198	5939	29
199	5960	0
